,WATER_SPECIAL,ICE_STATUS,DARK_SPECIAL,NORMAL_STATUS,STEEL_PHYSICAL,PSYCHIC_SPECIAL,GRASS_SPECIAL,FIRE_SPECIAL,ICE_SPECIAL,ELECTRIC_SPECIAL,FIGHTING_PHYSICAL,FLYING_STATUS,ROCK_PHYSICAL,WATER_PHYSICAL,POISON_PHYSICAL,PSYCHIC_PHYSICAL,PSYCHIC_STATUS,NORMAL_PHYSICAL,POISON_STATUS,GRASS_STATUS,DARK_PHYSICAL,GROUND_PHYSICAL,ROCK_STATUS,ICE_PHYSICAL,DRAGON_SPECIAL,ELECTRIC_STATUS,BUG_PHYSICAL,DARK_STATUS,GROUND_SPECIAL,FLYING_SPECIAL,GHOST_SPECIAL,FIRE_STATUS
poison&flying_poison&flying,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,0.0,0.0,0.0,0.0,0.0,53.5,0.0,0.0,0.0,0.0,0.0,-2.8,0.0,0.0,37.3,49.5,1.0,0.0,0.0,0.0
dark&ice_steel&psychic,0.0,0.0,0.0,-34.6,0.0,0.0,0.0,0.0,0.0,0.0,-134.8,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,-32.0,0.0,0.0,-55.1,0.0,0.0,0.0,-142.3,0.0,0.0,0.0,0.0
dark&ice_ground&psychic,0.0,0.0,0.0,-30.1,0.0,0.0,0.0,0.0,0.0,0.0,-80.6,0.0,0.0,0.0,0.0,0.0,0.0,-77.1,0.0,0.0,9.1,0.0,0.0,-5.9,0.0,0.0,0.0,-49.5,0.0,0.0,0.0,0.0
dark&ice_psychic&grass,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,-13.4,0.0,0.0,147.3,0.0,0.0,112.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
steel&psychic_psychic&grass,0.0,0.0,-2.7,-57.8,58.0,-27.6,-2.4,-5.3,0.0,-12.6,0.0,-9.6,0.0,-10.2,0.0,0.0,-72.4,1.0,0.0,0.0,0.0,-55.5,0.0,0.0,0.0,0.0,-24.6,0.0,0.0,0.0,0.0,0.0
steel&psychic_poison&flying,-9.9,0.0,-74.9,-98.5,-109.0,-102.5,-86.5,0.0,0.0,-13.2,-45.5,0.0,-22.6,-48.7,-16.8,0.0,-133.2,-9.5,18.5,-8.2,0.0,-203.8,0.0,-19.3,0.0,0.0,-132.6,0.0,0.0,0.0,0.0,-9.6
steel&psychic_dark,0.0,0.0,-55.0,0.0,49.2,-77.3,-67.9,33.4,0.0,28.4,0.0,0.0,104.8,28.1,25.8,0.0,18.8,3.9,0.0,0.0,0.0,115.5,0.0,0.0,0.0,0.0,199.6,0.0,0.0,0.0,0.0,0.0
dark_poison&flying,0.0,0.0,0.0,-85.5,-10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.6,-55.4,0.0,0.0,0.0,0.0,0.0,-13.5,0.0,0.0,-39.2,0.0,0.0,0.0,0.0,0.0
ground&psychic_psychic&grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.7,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,-60.3,0.0,0.0,0.0
ground&psychic_steel&psychic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.1,0.0,0.0,0.0,0.0,-61.9,0.0,0.0,0.0,0.0,0.0,-43.5,0.0,0.0,0.0
dark&ice_dark&ice,0.0,0.0,0.0,-33.8,0.0,0.0,0.0,0.0,0.0,0.0,-10.5,0.0,0.0,0.0,0.0,0.0,0.0,133.1,-4.9,0.0,16.0,0.0,0.0,108.7,0.0,0.0,0.0,27.4,0.0,0.0,0.0,0.0
