,NORMAL_STATUS,WATER_PHYSICAL,NORMAL_PHYSICAL,POISON_PHYSICAL,WATER_SPECIAL,PSYCHIC_STATUS,FIGHTING_PHYSICAL,DARK_PHYSICAL,FLYING_SPECIAL,ELECTRIC_STATUS,BUG_PHYSICAL,ICE_STATUS,DARK_SPECIAL,FLYING_STATUS,ROCK_PHYSICAL,STEEL_PHYSICAL,PSYCHIC_SPECIAL,GRASS_SPECIAL,FIRE_SPECIAL,ICE_SPECIAL,ELECTRIC_SPECIAL,POISON_STATUS,ROCK_STATUS,GROUND_PHYSICAL,ICE_PHYSICAL,DRAGON_SPECIAL,GRASS_STATUS,PSYCHIC_PHYSICAL,GHOST_SPECIAL,FIRE_STATUS,DARK_STATUS,GROUND_SPECIAL
water&dragon_grass&fighting,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,0.0,0.0,0.0,0.0,0.0,0.0
water_dark,94.8,44.6,5.7,0.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,52.1,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_dark&ice,7.3,24.3,-16.7,0.0,53.4,0.0,0.0,0.0,0.0,0.0,0.0,18.9,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psychic&fighting_dark&ice,0.0,0.0,-4.7,0.0,0.0,-12.5,425.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.8,0.0,0.0,0.0,0.0
steel&psychic_dark&ice,-83.1,0.0,-0.4,0.0,0.0,-87.1,-109.8,0.0,-11.8,0.0,-43.7,0.0,-114.0,0.0,0.0,-61.6,-104.2,-73.1,-5.8,0.0,0.0,0.0,0.0,-34.8,0.0,0.0,0.0,0.0,0.0,0.0,-7.4,0.0
steel&psychic_ground&psychic,2.5,0.0,279.6,0.0,0.0,21.3,0.0,0.0,0.0,0.0,227.9,0.0,20.0,0.0,0.0,112.4,34.3,205.9,0.0,0.0,0.0,0.0,0.0,70.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel&psychic_dark,74.1,0.0,70.3,0.0,0.0,17.8,136.9,0.0,0.0,0.0,469.7,0.0,86.6,0.0,0.0,198.3,151.6,110.1,45.8,163.5,0.0,0.0,0.0,444.9,0.0,0.0,0.0,52.6,0.0,0.0,0.0,0.0
rock&flying_dark,304.1,0.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.5,458.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_water,5.9,18.3,46.9,0.0,7.9,0.0,-20.0,-6.7,-5.6,0.0,-18.8,7.5,79.0,0.0,-1.3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-10.7,-0.6,0.0,0.0,0.0,-2.5,-5.5,-5.9,-0.0
water_fighting,97.2,44.2,25.7,0.0,187.1,0.0,0.0,0.0,0.0,0.0,0.0,61.8,75.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
